address,leaderboard_pnl,leaderboard_volume,leaderboard_username,snapshot_url,name,x_username,verified,copyability_score,score_profitability,score_stability,score_copyability,score_focus,score_execution,realized_pnl_90d,avg_trade_pnl_90d,profit_factor_90d,win_rate_90d,max_drawdown_90d,max_losing_streak_90d,weekly_vol_90d,avg_trades_per_day_30d,avg_hold_hours_90d,near_settlement_ratio_90d,crypto_ratio,btc_ratio,market_concentration_hhi,median_trade_notional,avg_trade_notional,trades_count,closed_positions_count,buy_count_with_open_time,near_open_buy_ratio_10m,near_open_buy_ratio_30m,avg_open_delay_min,median_open_delay_min,cycle5_window_count,cycle5_first_minute_single_count,cycle5_first_minute_single_ratio,high_win_near_open
0x76c333912de701a27ea27c0835156bbd6add4b14,13719.958286064048,35358.487338,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0x76c333912de701a27ea27c0835156bbd6add4b14,0x76c333912DE701A27eA27c0835156Bbd6aDD4b14-1769944794169,,False,54.37,100.0,18.75,15.0,64.37,92.6,12371.1404,247.4228,3.8662,0.64,1136.0881,3,3670.2481,14.3333,0.0,0.0,0.9183,0.9183,0.003,82.3796,198.2964,820,50,0.0,0.0,0.0,0.0,0.0,540.0,66.0,0.1222,False
0x3df74cc0fc7eaa958beb098d1ed216235524f332,5476.990251087096,21434.856925,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0x3df74cc0fc7eaa958beb098d1ed216235524f332,PrincessGlinda,,False,54.37,90.6,18.75,59.38,2.58,98.91,4810.5946,96.2119,2.1944,0.62,1442.1386,3,1167.6158,2.8333,0.0,0.0,0.0429,0.0107,0.0129,155.5198,423.6053,280,50,0.0,0.0,0.0,0.0,0.0,233.0,43.0,0.1845,False
0x0bb7c8e8758e98e5a735c841114256fd71062ec3,41755.73794099998,202672.860747,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0x0bb7c8e8758e98e5a735c841114256fd71062ec3,ProfessionalBet,,False,54.35,82.43,40.0,15.0,70.54,81.93,5155.7458,103.1149,1.4944,0.42,3178.7914,4,0.0,33.3333,0.0,0.0,1.0,1.0,0.018,10.58,31.7727,1000,50,0.0,0.0,0.0,0.0,0.0,81.0,1.0,0.0123,False
0x82a9ca3dac74910ceaace565832400dfdf26c9a1,11271.426395930905,159913.894109,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0x82a9ca3dac74910ceaace565832400dfdf26c9a1,2026frederick,,False,54.32,39.66,69.1,35.6,71.41,80.9,137.6697,2.7534,1.0499,0.5,520.0879,2,0.0,0.0,0.0,0.0,1.0,1.0,0.047,4.7,20.1913,1000,50,0.0,0.0,0.0,0.0,0.0,67.0,1.0,0.0149,False
0x11f09560c05ddc5a2a11d6a418498bc49608450e,7657.331204935721,367389.36857100006,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0x11f09560c05ddc5a2a11d6a418498bc49608450e,skcm,,False,54.32,40.0,89.24,15.0,71.49,80.96,81.3659,1.6273,1.2504,0.5,72.4286,2,0.0,33.3333,0.0,0.0,1.0,1.0,0.0498,5.0,4.9854,1000,50,0.0,0.0,0.0,0.0,0.0,66.0,5.0,0.0758,False
0x1414960e5f6860744b284e7e2586cac8bfa5abce,31913.06331802546,215974.65325000003,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0x1414960e5f6860744b284e7e2586cac8bfa5abce,badger3,,False,54.22,47.43,78.52,15.0,70.17,86.7,310.3951,6.2079,1.2017,0.52,310.6641,2,0.0,33.3333,0.0,0.0,1.0,1.0,0.0058,39.7,39.503,1000,50,0.0,0.0,0.0,0.0,0.0,259.0,29.0,0.112,False
0xe9806960a7b24b78d715fef823e596fd67fd57c9,14228.624033185391,382097.2301830001,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0xe9806960a7b24b78d715fef823e596fd67fd57c9,SunshineGinger,,False,54.18,74.74,50.31,15.0,68.05,80.49,1225.1026,24.5021,1.4557,0.4,687.6053,5,0.0,33.3333,0.0,0.0,0.981,0.924,0.0267,2.3674,6.2192,1000,50,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,False
0x204b4cdc0bc88253c67abc858514ad2864666a5c,14108.432996628944,22298.824972,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0x204b4cdc0bc88253c67abc858514ad2864666a5c,Telluxion,syrupfund,False,54.13,100.0,18.75,48.54,6.61,90.56,21453.0385,825.1169,9.216,0.6538,2214.4012,3,3913.5079,0.9667,0.0,0.0,0.1278,0.0088,0.0215,66.4366,309.5067,227,50,0.0,0.0,0.0,0.0,0.0,185.0,30.0,0.1622,False
0xfa0be712f974eb9933427c2202d1ae2561571001,9171.12775852932,0.0,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0xfa0be712f974eb9933427c2202d1ae2561571001,Ryanbignose,,False,54.11,73.04,50.37,15.0,70.78,80.58,995.583,19.9117,1.729,0.58,436.1236,8,0.0,33.3333,0.0,0.0,1.0,1.0,0.0259,2.85,8.0443,1000,50,0.0,0.0,0.0,0.0,0.0,101.0,8.0,0.0792,False
0xce7e254556ce08f3fb8b65ad88162338df12106b,8884.871200481617,17918.702194999998,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0xce7e254556ce08f3fb8b65ad88162338df12106b,GuessUpDown,,False,54.05,54.34,77.85,15.0,60.1,81.35,381.7218,7.6344,1.5905,0.54,325.4782,2,0.0,33.3333,0.0,0.0,0.957,0.669,0.0102,7.25,17.0796,1000,50,0.0,0.0,0.0,0.0,0.0,149.0,4.0,0.0268,False
